yyb_name,total,first_date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,last_date
世纪证券有限责任公司深圳深南大道中证券营业部,12,2015-12-03,0,0,0,0,0,0,0,0,0,0,0,2,10,2016-08-08
世纪证券有限责任公司深圳福虹路证券营业部,36,2015-09-16,0,0,0,0,0,0,0,0,0,0,0,8,28,2016-08-12
世纪证券有限责任公司长沙韶山北路证券营业部,12,2015-09-18,0,0,0,0,0,0,0,0,0,0,0,6,6,2016-08-29
东兴证券股份有限公司,2,2015-11-25,0,0,0,0,0,0,0,0,0,0,0,1,1,2016-07-25
东兴证券股份有限公司三明列东街证券营业部,10,2015-11-10,0,0,0,0,0,0,0,0,0,0,0,4,6,2016-08-30
东兴证券股份有限公司三明崇宁路证券营业部,15,2015-09-21,0,0,0,0,0,0,0,0,0,0,0,10,5,2016-04-12
东兴证券股份有限公司上海肇嘉浜路证券营业部,40,2015-09-16,0,0,0,0,0,0,0,0,0,0,0,16,24,2016-08-31
东兴证券股份有限公司上海虹口区广灵二路证券营业部,17,2015-10-28,0,0,0,0,0,0,0,0,0,0,0,2,15,2016-06-24
东兴证券股份有限公司北京北四环中路证券营业部,34,2015-09-17,0,0,0,0,0,0,0,0,0,0,0,11,23,2016-08-09
东兴证券股份有限公司北京复兴路证券营业部,24,2015-09-17,0,0,0,0,0,0,0,0,0,0,0,6,18,2016-08-30
东兴证券股份有限公司北京大望路证券营业部,13,2015-10-29,0,0,0,0,0,0,0,0,0,0,0,1,12,2016-08-25
东兴证券股份有限公司北京金融大街证券营业部,3,2015-11-30,0,0,0,0,0,0,0,0,0,0,0,1,2,2016-08-11
东兴证券股份有限公司南京洪武路证券营业部,10,2015-10-12,0,0,0,0,0,0,0,0,0,0,0,4,6,2016-07-11
东兴证券股份有限公司南宁祥宾路证券营业部,20,2016-03-21,0,0,0,0,0,0,0,0,0,0,0,0,20,2016-08-02
东兴证券股份有限公司南平滨江中路证券营业部,176,2015-09-17,0,0,0,0,0,0,0,0,0,0,0,42,134,2016-09-02
东兴证券股份有限公司南昌抚河北路滕王阁证券营业部,16,2015-09-22,0,0,0,0,0,0,0,0,0,0,0,3,13,2016-04-21
东兴证券股份有限公司合肥芜湖路证券营业部,1,2016-05-18,0,0,0,0,0,0,0,0,0,0,0,0,1,2016-05-18
东兴证券股份有限公司天津航天道证券营业部,4,2016-02-05,0,0,0,0,0,0,0,0,0,0,0,0,4,2016-09-01
