yyb_name,total,first_date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,last_date
上海证券有限责任公司北京和平里北街证券营业部,14,2013-08-07,0,0,0,0,0,0,0,0,0,3,2,8,1,2016-03-10
上海证券有限责任公司南京定淮门大街证券营业部,71,2009-06-08,0,0,0,0,0,24,13,5,16,5,6,2,0,2015-05-07
上海证券有限责任公司南京江东北路证券营业部,1,2016-02-26,0,0,0,0,0,0,0,0,0,0,0,0,1,2016-02-26
上海证券有限责任公司南京溧水致远路证券营业部,8,2016-08-12,0,0,0,0,0,0,0,0,0,0,0,0,8,2016-09-01
上海证券有限责任公司南京胜太路证券营业部,183,2009-11-12,0,0,0,0,0,1,17,18,9,1,13,71,53,2016-08-17
上海证券有限责任公司南京草场门大街证券营业部,28,2006-09-29,0,0,3,8,16,1,0,0,0,0,0,0,0,2009-01-08
上海证券有限责任公司南京西路证券营业部,42,2008-11-18,0,0,0,0,3,2,2,6,15,10,4,0,0,2014-03-18
上海证券有限责任公司南昌民德路证券营业部,95,2006-07-13,0,0,4,26,14,8,10,6,10,2,5,7,3,2016-04-11
上海证券有限责任公司南桥证券营业部,42,2006-08-18,0,0,3,10,7,2,2,2,1,3,5,4,3,2016-03-11
上海证券有限责任公司台州东环大道证券营业部,6,2015-04-08,0,0,0,0,0,0,0,0,0,0,0,2,4,2016-05-10
上海证券有限责任公司台州解放南路证券营业部,4,2011-05-30,0,0,0,0,0,0,0,2,1,1,0,0,0,2013-01-17
上海证券有限责任公司周浦证券营业部,23,2006-08-14,0,0,2,4,3,1,0,0,2,3,2,4,2,2016-05-13
上海证券有限责任公司商城路证券营业部,70,2007-01-29,0,0,0,13,6,7,5,4,6,4,7,10,8,2016-07-22
上海证券有限责任公司嘉兴中山西路证券营业部,82,2010-05-13,0,0,0,0,0,0,8,3,7,8,16,13,27,2016-08-18
上海证券有限责任公司嘉兴越秀北路证券营业部,3,2008-10-29,0,0,0,0,1,2,0,0,0,0,0,0,0,2009-07-14
上海证券有限责任公司嘉定证券营业部,33,2007-03-29,0,0,0,1,2,2,1,4,4,6,9,4,0,2015-08-03
上海证券有限责任公司堡镇证券营业部,77,2006-12-27,0,0,1,3,2,1,0,1,0,10,11,28,20,2016-08-08
上海证券有限责任公司大统路证券营业部,9,2011-04-15,0,0,0,0,0,0,0,1,2,2,1,2,1,2016-05-18
上海证券有限责任公司大连同兴街证券营业部,12,2009-11-18,0,0,0,0,0,1,1,0,1,0,2,7,0,2015-12-02
上海证券有限责任公司大连民主广场证券营业部,5,2016-01-25,0,0,0,0,0,0,0,0,0,0,0,0,5,2016-04-01
上海证券有限责任公司天山路证券营业部,58,2009-02-26,0,0,0,0,0,3,2,3,7,5,9,15,14,2016-08-31
上海证券有限责任公司妙境路证券营业部,78,2006-07-27,0,0,9,3,19,23,4,2,2,2,5,4,5,2016-08-26
上海证券有限责任公司定西路证券营业部,56,2005-09-21,0,1,1,20,9,8,3,2,2,2,4,3,1,2016-03-14
上海证券有限责任公司宝山友谊路证券营业部,11,2016-02-24,0,0,0,0,0,0,0,0,0,0,0,0,11,2016-08-22
上海证券有限责任公司客户资产管理部,10,2008-01-03,0,0,0,0,4,1,1,2,0,0,0,0,2,2016-05-12
上海证券有限责任公司崇明证券营业部,54,2006-08-17,0,0,2,24,4,3,2,2,8,2,2,4,1,2016-05-12
上海证券有限责任公司平顺路证券营业部,18,2007-08-30,0,0,0,2,3,1,2,3,0,1,3,2,1,2016-01-20
上海证券有限责任公司广州东风中路证券营业部,1,2009-04-16,0,0,0,0,0,1,0,0,0,0,0,0,0,2009-04-16
上海证券有限责任公司广州员村二横路证券营业部,30,2009-09-15,0,0,0,0,0,2,2,4,3,2,1,4,12,2016-08-25
上海证券有限责任公司广灵四路证券营业部,87,2006-09-26,0,0,1,2,8,3,3,17,5,9,21,16,2,2016-01-21
上海证券有限责任公司延长西路证券营业部,10,2006-09-26,0,0,1,1,3,1,0,3,0,0,1,0,0,2014-11-28
上海证券有限责任公司徐泾证券营业部,8,2012-05-21,0,0,0,0,0,0,0,0,4,2,1,1,0,2015-12-08
上海证券有限责任公司德都路证券营业部,12,2012-09-05,0,0,0,0,0,0,0,0,1,6,1,4,0,2015-08-27
上海证券有限责任公司杭州文三路证券营业部,33,2008-11-11,0,0,0,0,1,13,18,1,0,0,0,0,0,2011-03-24
上海证券有限责任公司杭州文二路证券营业部,297,2011-05-18,0,0,0,0,0,0,0,12,75,88,61,44,17,2016-08-23
上海证券有限责任公司杭州解放路证券营业部,129,2006-07-05,0,0,6,16,24,21,27,7,13,4,8,3,0,2015-09-29
上海证券有限责任公司深圳南山大道证券营业部,105,2010-08-09,0,0,0,0,0,0,1,4,0,27,69,4,0,2015-01-07
上海证券有限责任公司深圳民田路证券营业部,42,2015-03-27,0,0,0,0,0,0,0,0,0,0,0,34,8,2016-09-01
上海证券有限责任公司深圳深南中路证券营业部,7,2008-11-06,0,0,0,0,2,4,1,0,0,0,0,0,0,2010-05-05
上海证券有限责任公司深圳福虹路证券营业部,154,2006-08-30,0,0,2,26,13,3,4,4,7,16,11,51,17,2016-07-28
上海证券有限责任公司温州兴海路证券营业部,20,2010-02-11,0,0,0,0,0,0,2,4,8,0,5,1,0,2015-01-26
上海证券有限责任公司温州月乐西街证券营业部,99,2015-07-07,0,0,0,0,0,0,0,0,0,0,0,23,76,2016-09-01
上海证券有限责任公司温州永中西路证券营业部,22,2015-05-13,0,0,0,0,0,0,0,0,0,0,0,7,15,2016-08-22
上海证券有限责任公司温州永嘉环城西路证券营业部,1,2016-08-22,0,0,0,0,0,0,0,0,0,0,0,0,1,2016-08-22
上海证券有限责任公司温州永强大道证券营业部,51,2011-04-12,0,0,0,0,0,0,0,30,6,4,11,0,0,2014-12-22
上海证券有限责任公司温州谢池商城证券营业部,574,2008-09-26,0,0,0,0,22,79,127,109,93,35,20,51,38,2016-08-24
上海证券有限责任公司玉屏南路证券营业部,13,2007-05-15,0,0,0,6,7,0,0,0,0,0,0,0,0,2008-12-04
上海证券有限责任公司瑞安塘下大道证券营业部,50,2010-07-02,0,0,0,0,0,0,1,5,3,1,7,14,19,2016-08-31
上海证券有限责任公司瑞安滨江大道证券营业部,8,2008-09-25,0,0,0,0,8,0,0,0,0,0,0,0,0,2008-11-21
上海证券有限责任公司瑞安罗阳大道证券营业部,218,2009-03-09,0,0,0,0,0,26,36,30,32,17,23,36,18,2016-08-16
上海证券有限责任公司福州五四路证券营业部,13,2011-12-15,0,0,0,0,0,0,0,1,1,0,1,1,9,2016-06-27
上海证券有限责任公司芷江西路证券营业部,14,2006-04-24,0,0,1,7,6,0,0,0,0,0,0,0,0,2008-09-10
上海证券有限责任公司苏州干将西路证券营业部,131,2006-07-18,0,0,3,28,28,20,0,0,2,10,11,22,7,2016-08-15
上海证券有限责任公司茸城证券营业部,67,2006-09-20,0,0,1,18,23,16,9,0,0,0,0,0,0,2010-08-09
上海证券有限责任公司莘庄证券营业部,139,2006-08-21,0,0,4,4,9,5,9,22,39,32,7,4,4,2016-07-13
上海证券有限责任公司虹口新市路证券营业部,2,2016-07-26,0,0,0,0,0,0,0,0,0,0,0,0,2,2016-08-02
上海证券有限责任公司虹梅路证券营业部,99,2005-10-12,0,1,2,20,10,10,4,5,2,16,12,10,7,2016-07-15
上海证券有限责任公司襄阳北路证券营业部,111,2005-03-22,0,2,7,38,26,2,5,3,6,7,5,9,1,2016-08-29
上海证券有限责任公司西藏南路证券营业部,60,2007-06-22,0,0,0,6,15,6,7,2,6,9,6,3,0,2015-11-23
上海证券有限责任公司西藏路证券营业部,44,2006-07-10,0,0,5,10,11,3,2,2,2,1,8,0,0,2014-10-16
上海证券有限责任公司证券投资总部,102,2006-09-22,0,0,2,34,23,22,3,1,5,7,2,0,3,2016-06-15
上海证券有限责任公司资产管理总部,1,2006-11-27,0,0,1,0,0,0,0,0,0,0,0,0,0,2006-11-27
上海证券有限责任公司重庆南城大道证券营业部,28,2007-01-08,0,0,0,8,4,1,1,3,4,1,3,3,0,2015-07-15
上海证券有限责任公司金山证券营业部,23,2007-01-29,0,0,0,5,5,0,0,0,6,1,2,4,0,2015-07-14
上海证券有限责任公司闸北北苏州路证券营业部,15,2015-02-10,0,0,0,0,0,0,0,0,0,0,0,14,1,2016-03-14
上海证券有限责任公司青浦明珠路证券营业部,2,2016-01-04,0,0,0,0,0,0,0,0,0,0,0,0,2,2016-02-01
上海证券有限责任公司青浦证券营业部,21,2006-09-29,0,0,1,6,0,3,0,2,1,1,0,2,5,2016-08-08
上海证券有限责任公司静安南京西路证券营业部,8,2014-04-23,0,0,0,0,0,0,0,0,0,0,5,3,0,2015-07-31
上海证券有限责任公司高安路证券营业部,127,2006-08-25,0,0,2,8,11,6,7,6,0,7,13,53,14,2016-08-15
上海证券有限责任公司鳌江兴敖中路证券营业部,12,2010-04-21,0,0,0,0,0,0,1,2,3,0,0,1,5,2016-08-29
上海证券有限责任公司鼓浪路证券营业部,3,2012-01-04,0,0,0,0,0,0,0,0,1,0,0,2,0,2015-09-18
上海证券有限责任公司龙镇路证券营业部,4,2006-12-25,0,0,1,1,0,2,0,0,0,0,0,0,0,2009-12-25
上海证券机构专用席位,3,2005-11-15,0,3,0,0,0,0,0,0,0,0,0,0,0,2005-11-28
上海证券深圳深南中路证券营业部,6,2008-11-17,0,0,0,0,2,4,0,0,0,0,0,0,0,2009-03-03
上海证券温州谢池商城证券营业部,48,2008-10-13,0,0,0,0,18,30,0,0,0,0,0,0,0,2009-09-14
上海证券瑞安滨江大道证券营业部,12,2008-10-15,0,0,0,0,11,1,0,0,0,0,0,0,0,2009-01-07
上海证券瑞安罗阳大道证券营业部,26,2009-02-19,0,0,0,0,0,26,0,0,0,0,0,0,0,2009-09-08
上海远东证券有限公司上海金桥路证券营业部,125,2006-06-07,0,0,22,81,19,3,0,0,0,0,0,0,0,2009-04-23
上海远东证券有限公司信阳大庆路证券营业部,2,2008-06-18,0,0,0,0,1,1,0,0,0,0,0,0,0,2009-07-15
上海远东证券有限公司信阳解放路证券营业部,12,2008-01-15,0,0,0,0,11,1,0,0,0,0,0,0,0,2009-05-18
上海远东证券有限公司北京南礼士路证券营业部,41,2008-02-01,0,0,0,0,41,0,0,0,0,0,0,0,0,2008-12-23
上海远东证券有限公司天津苏州道证券营业部,3,2008-04-08,0,0,0,0,3,0,0,0,0,0,0,0,0,2008-05-27
上海远东证券有限公司宜昌东山大道营业部,8,2008-01-30,0,0,0,0,8,0,0,0,0,0,0,0,0,2008-12-25
上海远东证券有限公司宜昌东山大道证券营业部,2,2008-08-19,0,0,0,0,2,0,0,0,0,0,0,0,0,2008-11-28
